config,round,avg_ttft_s,cache_hit_rate_pct,request_count
GPU only,0,0.48632856124822865,0.0,8
GPU only,1,1.1858177303756747,18.74694873881204,8
GPU only,2,1.9829931351259802,16.66305055326535,8
GPU only,3,3.432484933624437,9.37271174029778,8
GPU only,4,4.649269253000057,6.352512366571206,8
GPU only,5,6.755899269623114,0.0,8
GPU only,6,9.014596021872421,0.0,8
GPU only,7,11.592271841000183,0.0,8
+Mooncake,0,0.5337445868754003,0.0,8
+Mooncake,1,0.7764545084974088,49.99186330349878,8
+Mooncake,2,0.9958799313753843,66.6522022130614,8
+Mooncake,3,2.797382636000293,28.118135220893336,8
+Mooncake,4,4.366922713001259,14.996094766987763,8
+Mooncake,5,5.413952069499828,24.99322015512285,8
+Mooncake,6,7.706509901000572,19.04230590423059,8
+Mooncake,7,10.613342974749685,10.934385550990521,8
+Mooncake+SSD,0,0.5222262453735311,0.0,8
+Mooncake+SSD,1,0.78074810850012,49.99186330349878,8
+Mooncake+SSD,2,1.026180901751104,66.6522022130614,8
+Mooncake+SSD,3,2.743191704623314,74.98169392238223,8
+Mooncake+SSD,4,5.884354656749565,79.97917209060141,8
+Mooncake+SSD,5,5.075860504375669,71.50837988826815,8
+Mooncake+SSD,6,3.787029036874628,79.1445839144584,8
+Mooncake+SSD,7,7.6668948173746685,57.08009600130172,8
