workload,rwmixread_pct,iodepth,runtime_s,read_iops,read_bw_MiBs,write_iops,write_bw_MiBs,lat_read_p50_us,lat_read_p95_us,lat_read_p99_us,lat_read_p99_9_us,lat_write_p50_us,lat_write_p95_us,lat_write_p99_us,lat_write_p99_9_us
sharegpt_8b_cpuhalf,61,32,60,18636,1644.7,11909,1272.5,1105.92,3686.4,6520.832,15138.816,92.672,700.416,1236.992,49545.216
sharegpt_8b_cpuhalf,61,64,60,13108,1157.4,8393,898.2,4145.152,7569.408,11993.088,19529.728,28.544,175.104,17432.576,99090.432
sharegpt_8b_cpuhalf,61,128,60,13065,1153.1,8354,892.4,8716.288,12517.376,17956.864,26083.328,29.056,230.4,51642.368,173015.04
sharegpt_8b_cpuhalf,61,256,60,12576,1111.1,8039,859.1,17432.576,22413.312,28442.624,44302.336,32.64,36962.304,102236.16,179306.496
sharegpt_8b_cpuhalf,61,1024,60,11536,1018.6,7380,788.7,57409.536,68681.728,166723.584,287309.824,22937.6,206569.472,379584.512,522190.848
burstgpt_8b_cpurel_spd1000,91,32,60,20946,2437.7,2067,242.9,1335.296,2539.52,3555.328,14876.672,28.544,5079.04,17170.432,128450.56
burstgpt_8b_cpurel_spd1000,91,64,60,21002,2444.2,2067,243.0,2572.288,4423.68,9371.648,21102.592,26.752,17170.432,110624.768,129499.136
burstgpt_8b_cpurel_spd1000,91,128,60,21003,2443.4,2074,243.5,5341.184,7307.264,13041.664,25559.04,26.752,55312.384,152043.52,261095.424
burstgpt_8b_cpurel_spd1000,91,256,60,21065,2450.5,2096,246.4,11206.656,13565.952,19267.584,60555.264,26.496,111673.344,227540.992,404750.336
burstgpt_8b_cpurel_spd1000,91,1024,60,21057,2450.8,2093,246.2,43778.048,50593.792,68681.728,135266.304,21626.88,341835.776,476053.504,583008.256
tp8_cpuhalf_generic,73,32,60,13322,1598.1,4922,590.6,1826.816,3555.328,5079.04,17170.432,30.08,675.84,12124.16,130547.712
tp8_cpuhalf_generic,73,64,60,13466,1615.0,4980,597.7,3719.168,6193.152,12910.592,26607.616,26.752,12255.232,81264.64,131596.288
tp8_cpuhalf_generic,73,128,60,13216,1585.9,4890,586.3,7700.48,10551.296,20054.016,33423.36,28.544,31850.496,145752.064,238026.752
tp8_cpuhalf_generic,73,256,60,13293,1593.9,4918,590.3,15925.248,19267.584,29753.344,48496.64,26.24,68681.728,206569.472,392167.424
tp8_cpuhalf_generic,73,1024,60,13317,1596.9,4949,593.6,56360.96,70778.88,156237.824,274726.912,24772.608,274726.912,480247.808,633339.904
