second,write_MiB_s
1.000,1244.000
1.000,1322.000
2.000,1268.000
2.000,1329.000
3.000,1266.266
3.000,1278.277
4.000,1376.376
4.000,1302.302
5.000,1331.000
5.000,1314.000
6.000,1261.261
6.000,1291.291
7.000,1362.000
7.000,1312.000
8.000,1320.320
8.000,1311.311
9.000,1316.000
9.000,1299.000
10.000,1273.272
10.000,1303.303
11.000,1349.000
11.000,1290.000
12.000,1322.322
12.000,1311.311
13.000,1276.000
13.000,1324.000
14.000,1255.255
14.000,1288.288
15.001,1324.000
15.001,1316.000
16.000,1315.314
16.000,1305.305
17.000,1334.334
17.000,1262.262
18.000,1364.364
18.000,1295.295
19.000,1221.000
19.000,1328.000
20.000,1280.280
20.000,1302.302
21.000,1346.000
21.000,1300.000
22.001,1212.000
22.001,1323.000
23.000,1350.350
23.000,1300.300
24.000,1315.314
24.000,1313.312
25.000,1113.112
25.000,1152.151
26.000,1065.000
26.000,1082.000
27.000,1327.327
27.000,1295.295
28.000,1262.262
28.000,1277.276
29.000,1348.000
29.000,1299.000
30.000,1337.337
30.000,1269.269
31.000,1328.000
31.000,1308.000
32.000,1353.353
32.000,1300.300
33.000,1410.410
33.000,1224.224
34.000,1297.000
34.000,1335.000
35.000,1302.302
35.000,1318.317
36.000,1302.000
36.000,1281.000
37.000,1306.306
37.000,1314.313
38.000,1310.310
38.000,1293.293
39.000,1259.000
39.000,1310.000
40.000,1253.000
40.000,1312.000
41.000,1287.287
41.000,1291.291
42.000,1372.000
42.000,1296.000
43.000,1330.000
43.000,1312.000
44.000,1226.226
44.000,1273.272
45.000,1312.000
45.000,1333.000
46.001,1242.000
46.001,1324.000
47.000,1306.306
47.000,1280.280
48.001,1371.000
48.001,1290.000
49.000,1307.307
49.000,1289.289
50.000,1343.000
50.000,1287.000
51.000,1342.342
51.000,1309.309
52.001,1254.000
52.001,1278.000
53.000,1358.357
53.000,1309.309
54.000,1371.371
54.000,1299.299
55.000,1349.000
55.000,1276.000
56.000,1080.080
56.000,1089.089
57.000,1146.000
57.000,1177.000
58.000,1261.261
58.000,1306.306
59.000,1288.288
59.000,1319.318
60.000,1269.000
60.000,1320.000
61.000,1319.318
61.000,1300.300
62.000,1314.000
62.000,1319.000
63.000,1256.256
63.000,1295.295
64.000,1331.000
64.000,1322.000
65.000,1307.307
65.000,1320.320
66.000,1321.321
66.000,1262.262
67.000,1269.000
67.000,1344.000
68.000,1293.293
68.000,1324.324
69.000,1303.303
69.000,1313.312
70.000,1324.000
70.000,1311.000
71.000,1313.312
71.000,1311.311
72.000,1342.000
72.000,1311.000
73.000,1283.283
73.000,1317.316
74.000,1235.234
74.000,1317.316
75.000,1352.000
75.000,1324.000
76.000,1281.000
76.000,1353.000
77.000,1284.284
77.000,1283.283
78.000,854.000
78.000,875.000
79.000,1361.361
79.000,1234.233
